,close-1,open-1,high-1,low-1,estimated-transaction-volume-usd-1,n-transactions-1,hash-rate-1,difficulty-1,cost-per-transaction-1,Gold price-1,output-volume-0,trade-volume-1,USD-CNY Price-1,SVI-0,Wikiviews-0
2021-01-21,-4700.273745000002,-418.51449899999716,-780.3569760000028,-3371.6147729999975,-433226394.6593113,-24055.0,-12292803.84337911,0.0,-4.77703125607357,8.700000000000045,2210014.301519668,333903107.9562001,-0.005499999999999616,18.57471264367816,7829
2021-01-22,2207.3023770000036,-4699.586501000002,-1761.5167559999973,-1247.8663560000023,693141134.4198074,36181.0,13317204.163660705,0.0,-6.700449249088521,-3.2999999999999545,2107825.236965114,560365046.9435999,0.02149999999999963,18.57471264367816,9179
2021-01-23,-899.6777490000022,2205.6472840000024,-386.65645100000256,2639.510000000002,-3251404121.59546,-21726.0,14316305.75198707,129667707435.60156,13.117071306460957,259.3165532879816,1529579.5139759874,-201902077.62960005,0.24890985259891707,18.57471264367816,6042
2021-01-24,170.47583600000144,-898.0092650000006,-397.5199999999968,-480.2000000000007,-136894247.3564036,-51238.0,-15896225.84425804,86445138290.39844,7.250977934719714,0.0,1515699.3507870794,-857227743.0971999,0.0,37.0,5624
2021-01-25,-23.623052000002644,173.4229809999997,1800.8199999999997,978.9799999999996,1939323143.954441,55131.0,1035143.3481130302,0.0,-12.49544097612332,-257.8165532879816,2313552.772161432,-52341561.5632,-0.2515098525989172,18.57471264367816,7779
2021-01-26,261.8459400000029,-24.369337000000087,-1937.6473330000008,-1089.3499999999985,323296881.4506154,27833.0,21738010.31037426,0.0,-1.9340321098823807,-0.20000000000004547,1703884.0413185,361673875.32559997,-0.014899999999999913,18.57471264367816,7036
2021-01-27,-2098.712888000002,259.6304479999999,-353.6526670000021,-1602.2133070000018,1196077739.6769795,-13382.0,-19667723.61414814,0.0,-10.22714933750241,-29.799999999999955,1995359.167316232,58582244.35680008,0.01869999999999994,18.57471264367816,8235
2021-01-28,3021.9686809999985,-2099.201111000002,1258.5722129999995,653.9533069999998,-436773250.7893543,1593.0,3105430.04433921,0.0,3.681516184009041,4.7000000000000455,2181658.238608856,449226844.9858999,-0.03310000000000013,18.57471264367816,9319
2021-01-29,815.0013190000027,3024.0792150000016,4779.727787000003,2095.790112999999,3300612532.5209665,15890.0,7246003.43679142,0.0,18.831471056047832,-18.40000000000009,2493283.100595151,-201319726.71179998,-0.024099999999999788,18.57471264367816,15990
2021-01-30,49.91232599999785,813.410785,-3721.951052000004,874.5898869999983,-4872275286.422138,-28723.0,-16562293.56980896,0.0,-7.941986903203315,301.51655328798165,1957192.886691128,1099484613.5211,0.3049098525989171,18.57471264367816,9781
2021-01-31,-1173.2768299999952,50.22787000000244,-527.3353759999954,-658.4199999999983,-296940811.6254573,-21560.0,8281146.78490448,0.0,7.165408059437638,0.0,1991251.575630819,-1570989764.8112,0.0,33.0,8047
2021-02-01,395.15450399999827,-1173.8219600000011,334.88824999999633,130.0,1466720240.6007829,-9890.0,-24843440.354713425,0.0,-9.124190453595887,-300.61655328798156,1926362.6797363567,-200891416.708,-0.26300985259891707,18.57471264367816,9546
2021-02-02,1980.9090999999971,395.38408999999956,1297.0981780000002,1114.2836400000015,-240324444.46331406,83688.0,33124587.139617905,0.0,-1.0216660182091317,-11.0,1924952.595227271,197704822.458,-0.011800000000000033,18.57471264367816,8421
